dataset,resource,x,m,mode,linear_min_eig,linear_max_eig,projection_frobenius,projected_min_eig,linear_trace_real,fidelity_linear,fidelity_projected,delta_fidelity,coherence_linear_real,coherence_linear_imag,coherence_linear_abs,coherence_projected_real,coherence_projected_imag,coherence_projected_abs,delta_coherence_abs,delta_coherence_complex_abs,logical_input
state,canonical,0.0,0.0,raw,0.013446605910229774,0.9009463103970119,3.925791717086805e-16,0.01344660591022978,1.0,0.8925002554592595,0.8925002554592596,1.1102230246251565e-16,0.2437744140625,-0.2952880859375,0.3829112412141325,0.2437744140625001,-0.2952880859375001,0.38291124121413267,1.6653345369377348e-16,1.5700924586837752e-16,
state,canonical,0.0,0.0,recovered,0.012877859778710133,0.9101983516727048,4.601078107339027e-16,0.012877859778710164,1.0,0.901289643903968,0.9012896439039679,-1.1102230246251565e-16,0.2584228515625,-0.2989501953125,0.39516273797902024,0.2584228515624999,-0.2989501953124999,0.3951627379790201,-1.6653345369377348e-16,1.5700924586837752e-16,
state,canonical,1.0,0.0,raw,0.0007710161818241705,0.8987985803029643,8.8505414939729e-16,0.0007710161818242098,1.0,0.8878526648884679,0.8878526648884673,-6.661338147750939e-16,0.012451171875,-0.0125732421875,0.017695143406209535,0.012451171875000071,-0.012573242187500064,0.017695143406209632,9.71445146547012e-17,9.580323528576904e-17,
state,canonical,1.0,0.0,recovered,0.017339216341883033,0.8915212932952763,1.7485381250777225e-16,0.017339216341883026,1.0,0.8800138357393033,0.8800138357393031,-1.1102230246251565e-16,0.265625,-0.285888671875,0.3902421982967134,0.265625,-0.28588867187499994,0.3902421982967134,0.0,5.551115123125783e-17,
state,canonical,0.0,1.0,raw,0.023470961185022718,0.8747389066453781,3.6994071208549927e-16,0.023470961185022524,1.0,0.863134190493587,0.863134190493587,0.0,0.2601318359375,0.276611328125,0.37971357483673246,0.26013183593749994,0.276611328125,0.37971357483673246,0.0,5.551115123125783e-17,
state,canonical,0.0,1.0,recovered,0.022535677796720208,0.8795550241457666,2.6100599496910895e-16,0.02253567779672027,1.0,0.8667294590474415,0.8667294590474415,0.0,0.2552490234375,-0.279541015625,0.37854358187988596,0.2552490234375001,-0.279541015625,0.378543581879886,5.551115123125783e-17,1.1102230246251565e-16,
state,canonical,1.0,1.0,raw,0.01706887017933983,0.8969346702150858,9.951143851059782e-16,0.01706887017934007,1.0,0.8884445005697228,0.8884445005697219,-8.881784197001252e-16,0.0191650390625,0.00732421875,0.020516893102148836,0.019165039062500014,0.007324218750000003,0.02051689310214885,1.3877787807814457e-17,1.411962612463446e-17,
state,canonical,1.0,1.0,recovered,0.010874493182982767,0.9087685471975285,4.690546055820143e-16,0.010874493182982694,1.0,0.895908686815251,0.8959086868152516,5.551115123125783e-16,0.263671875,-0.2908935546875,0.39260911581972363,0.2636718750000001,-0.29089355468750017,0.39260911581972385,2.220446049250313e-16,2.0014830212433605e-16,
state,noncanonical,0.0,0.0,raw,0.007257040565846935,0.924883112135194,4.3939898459063635e-16,0.007257040565846985,1.0,0.9174882080612253,0.9174882080612251,-2.220446049250313e-16,-0.0042724609375,0.0042724609375,0.006042172202521769,-0.004272460937499994,0.0042724609374999965,0.006042172202521762,-6.938893903907228e-18,6.992893892674703e-18,
state,noncanonical,0.0,0.0,recovered,0.014618598930616237,0.9302184932813033,3.473748567885407e-16,0.01461859893061622,1.0,0.9210405014804419,0.9210405014804419,0.0,0.26708984375,-0.30810546875,0.40775723722339574,0.26708984375,-0.3081054687500001,0.40775723722339585,1.1102230246251565e-16,1.1102230246251565e-16,
