resource,logical_input,sample,min_eig,projection_frobenius
canonical,zero,0,0.01198233956197467,3.3659628749919705e-16
canonical,one,0,0.01969188034629492,4.2064610355808494e-16
canonical,plus,0,0.013970324026375257,4.2670671502635686e-16
canonical,plus_i,0,0.010236238402420038,4.633140820541158e-16
canonical,zero,1,0.013174137220200312,4.535915509591674e-16
canonical,one,1,0.02260833938244491,7.567753531410441e-16
canonical,plus,1,0.015206071863642591,2.0730875481270787e-16
canonical,plus_i,1,0.0011037229823892877,3.351214371377279e-16
canonical,zero,2,0.005023481172265712,5.667219236158145e-16
canonical,one,2,0.019757133292749505,3.1988085075967515e-16
canonical,plus,2,0.018328869594974106,5.278400946966115e-16
canonical,plus_i,2,0.012535006868471412,2.341057374272442e-16
canonical,zero,3,0.011272425206386938,1.2341973892432062e-16
canonical,one,3,0.02022189236600202,6.467281135871034e-16
canonical,plus,3,0.012818843533196471,3.6612324258659225e-16
canonical,plus_i,3,0.003664944874364424,3.2138064103428943e-16
canonical,zero,4,0.007195224834286895,2.3421336745394586e-16
canonical,one,4,0.017091354559440358,9.398945319011912e-16
canonical,plus,4,0.018767023508393786,2.1009400184781674e-16
canonical,plus_i,4,0.005528536784888937,4.788256179395445e-16
canonical,zero,5,0.007364793063644219,1.3499679851259895e-16
canonical,one,5,0.020986184069923884,1.4032438000687626e-15
canonical,plus,5,0.009284988369619912,3.2482668136994e-16
canonical,plus_i,5,0.010952027098971863,6.538977274773353e-16
canonical,zero,6,0.010420910709429097,3.4670449514668353e-16
canonical,one,6,0.016256130754513442,5.465553375474289e-16
canonical,plus,6,0.013629709412076373,4.1355422009682564e-16
canonical,plus_i,6,0.014519715935921482,5.718341687363048e-16
canonical,zero,7,0.005883772716049827,2.3087550029105974e-16
canonical,one,7,0.021327652623103863,7.931072442749196e-16
canonical,plus,7,0.009855522188661061,1.1311986775329532e-15
canonical,plus_i,7,0.01781005075129536,6.145275511823042e-16
canonical,zero,8,0.009441323060555918,6.482373070887878e-17
canonical,one,8,0.015495092883147337,5.084683021302971e-16
canonical,plus,8,0.009490807798176418,3.803398528714131e-16
canonical,plus_i,8,0.006910855181776491,6.110311048346115e-16
canonical,zero,9,0.008317646101972163,4.593375396985161e-16
canonical,one,9,0.019133467859514437,7.679164504339432e-16
canonical,plus,9,0.013491299927432353,3.7720563777955817e-16
canonical,plus_i,9,-0.0029430193751482266,0.0033983060569442295
canonical,zero,10,0.0024279439330965264,4.477136960730262e-16
canonical,one,10,0.01951859200479215,5.387571546765867e-16
canonical,plus,10,0.017007786187136494,6.64869477021003e-16
canonical,plus_i,10,0.004810322609465502,2.4455351027415905e-16
canonical,zero,11,0.0017747272039994701,6.714458364458577e-16
canonical,one,11,0.019136980462226165,8.109080811091846e-16
canonical,plus,11,0.012195555911631595,4.514219975450802e-16
canonical,plus_i,11,0.005136535428640353,5.42111841421613e-16
canonical,zero,12,0.010731538883074201,1.8317562815470668e-17
canonical,one,12,0.014195966226493434,5.349565585787737e-16
canonical,plus,12,0.016433770898466926,2.6845371247071425e-16
canonical,plus_i,12,0.008502322865777645,4.893215690760618e-16
canonical,zero,13,0.007748210387380116,1.376514965419067e-16
canonical,one,13,0.018885062900738422,6.628514514359093e-16
canonical,plus,13,0.004729161096332619,5.071463414474485e-16
canonical,plus_i,13,0.0036760961021530814,5.183834430435692e-16
canonical,zero,14,0.008553455948596682,2.310483417186866e-16
canonical,one,14,0.018505846022781856,3.462071959692875e-16
canonical,plus,14,0.01496741832899583,3.242285886151821e-16
canonical,plus_i,14,0.008670079636768553,7.523631908070771e-16
canonical,zero,15,0.005210041442689217,4.9845951685628924e-17
canonical,one,15,0.017846148406817707,3.110804466513264e-16
canonical,plus,15,0.013165610390268041,1.2305861060125878e-15
canonical,plus_i,15,0.007901141339155598,4.545613775925536e-16
canonical,zero,16,0.010437580134702393,1.3088920431915786e-16
canonical,one,16,0.01843896745852067,9.65170901842746e-16
canonical,plus,16,0.013635828571560671,8.075331094749781e-16
canonical,plus_i,16,0.015124902188862225,2.841672176865293e-16
canonical,zero,17,0.006794347012272068,1.365096218026977e-16
canonical,one,17,0.022024261674713202,8.002590648722816e-16
canonical,plus,17,0.020341155830982706,2.9467920959120925e-16
canonical,plus_i,17,0.010715558900390302,5.640856238139522e-16
canonical,zero,18,0.00658812883691111,2.3299623247375324e-16
canonical,one,18,0.02393238682239984,4.2883039973512776e-16
canonical,plus,18,0.014585462839089021,3.536366031860315e-16
canonical,plus_i,18,0.014473853968930911,4.301766922895933e-16
canonical,zero,19,0.00943737384534646,2.252872979225148e-16
canonical,one,19,0.017259290197193834,2.4311826148335803e-16
canonical,plus,19,0.0022923818184413945,3.3925266361572755e-16
canonical,plus_i,19,0.005395044908294855,7.734932377166963e-16
canonical,zero,20,0.008396628957823827,1.4970755308590811e-16
canonical,one,20,0.01920991291057681,9.21430136871069e-16
canonical,plus,20,0.002323557338752246,6.552721321732117e-16
canonical,plus_i,20,0.005710173880429325,2.330497046280057e-16
canonical,zero,21,0.008389088880537016,7.569501716823963e-17
canonical,one,21,0.01804302988210949,2.7132726373349576e-16
canonical,plus,21,0.0062368050198291945,6.463992621186846e-16
canonical,plus_i,21,0.009353624483613206,4.553731729569681e-16
canonical,zero,22,0.005989862656555464,9.859970851168229e-17
canonical,one,22,0.014830357432447212,3.0728607852400415e-16
canonical,plus,22,0.02126628857962963,6.610865824759932e-16
canonical,plus_i,22,0.007755604180173936,7.436082940252809e-16
