resource,x,m,mode,sample,min_eig,projection_frobenius
canonical,0,0,raw,0,0.005663485717800643,4.850301263817147e-16
canonical,0,0,recovered,0,0.005635156754171665,3.10748760335409e-16
canonical,0,0,raw,1,0.013323666366893534,5.684968989389604e-16
canonical,0,0,recovered,1,0.008661419776631499,3.3579783944858036e-16
canonical,0,0,raw,2,0.013248585934615482,4.2081136560257187e-16
canonical,0,0,recovered,2,0.013463628466812014,2.546419551851402e-16
canonical,0,0,raw,3,0.010507121432364102,4.967609435418356e-16
canonical,0,0,recovered,3,0.010319152547627605,3.1875337355705324e-16
canonical,0,0,raw,4,0.007800003436378362,6.511125754870611e-16
canonical,0,0,recovered,4,0.0019349446579708543,8.672699359345543e-16
canonical,0,0,raw,5,0.003549972182879022,2.8411773929628483e-16
canonical,0,0,recovered,5,0.020895377679656338,3.530016089764902e-16
canonical,0,0,raw,6,0.01809210397926886,3.540911011558265e-16
canonical,0,0,recovered,6,0.013283298780191367,5.790765924782727e-16
canonical,0,0,raw,7,0.007978044622121459,4.0544916986106435e-16
canonical,0,0,recovered,7,0.013606895721165925,3.0884716374329433e-16
canonical,0,0,raw,8,0.018974673238990377,4.275688697613938e-16
canonical,0,0,recovered,8,0.006737489922557941,3.281666316500661e-16
canonical,0,0,raw,9,0.007488496753878625,2.5556721986945273e-16
canonical,0,0,recovered,9,0.004000215129234639,2.1955612349961616e-16
canonical,0,0,raw,10,0.012426867313849907,5.101222723767956e-16
canonical,0,0,recovered,10,0.0009774220807397505,5.592775961456148e-16
canonical,0,0,raw,11,0.013783861726784884,7.033827763445334e-16
canonical,0,0,recovered,11,0.00850029480710331,6.569348360054453e-16
canonical,0,0,raw,12,0.01170978012683074,4.578723511966412e-16
canonical,0,0,recovered,12,0.006996669975460017,2.711605022857619e-16
canonical,0,0,raw,13,0.011703584598895067,2.9319328642265457e-16
canonical,0,0,recovered,13,0.0031250982247057724,2.7327814193446425e-16
canonical,0,0,raw,14,0.01418183059128292,1.517783911186923e-16
canonical,0,0,recovered,14,0.008480569185007614,4.718786655672269e-16
canonical,0,0,raw,15,0.009975538435976232,6.742913329397881e-16
canonical,0,0,recovered,15,0.0023627907505081305,4.7936627998641e-16
canonical,0,0,raw,16,0.019191265865812945,4.939581310731592e-16
canonical,0,0,recovered,16,0.0055227365498010435,3.6899275517911087e-16
canonical,0,0,raw,17,0.020294659793576565,4.1731728918651913e-16
canonical,0,0,recovered,17,-0.000920119040581014,0.0010624619515318262
canonical,0,0,raw,18,0.01054048577690132,3.132250881782338e-16
canonical,0,0,recovered,18,0.013173313539929343,7.9234679026210035e-16
canonical,0,0,raw,19,0.010534797843140072,3.4871933228774376e-16
canonical,0,0,recovered,19,0.0043542789345985215,5.611518748950897e-16
canonical,0,0,raw,20,0.01289780685888345,5.033126901340212e-16
canonical,0,0,recovered,20,0.01617602009082524,3.1981134011680527e-16
canonical,0,0,raw,21,0.016949472148712702,4.560648723363045e-16
canonical,0,0,recovered,21,0.00946874460087412,4.678666919716058e-16
canonical,0,0,raw,22,0.015155672645223349,2.2341931902437984e-16
canonical,0,0,recovered,22,0.0025886692782103185,2.6855112220566223e-16
canonical,0,0,raw,23,0.01508861696343777,3.424178925832984e-16
canonical,0,0,recovered,23,0.012982101067736734,5.5648404175661405e-16
canonical,0,0,raw,24,0.007864957458013855,3.329370036695895e-16
canonical,0,0,recovered,24,0.013127706409948262,2.1519487691279776e-16
canonical,0,0,raw,25,0.009992568581284318,3.0947878246399133e-16
canonical,0,0,recovered,25,0.013968908182411468,3.2697064182287996e-16
canonical,0,0,raw,26,0.009348332164740552,1.5674428961740988e-16
canonical,0,0,recovered,26,0.008250387241447298,3.2454921530596016e-16
canonical,0,0,raw,27,0.01961325740259231,6.57807107780209e-16
canonical,0,0,recovered,27,0.013148717653938694,6.088138020724709e-16
